bibtex_authors;author;year;title;bibtex_key;mentioned_group;mentioned_factor;mentioned_metric;static_and_demand_oriented;core_aspect;arg_code_1;arg_code_2;arg_code_3
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;charging duration;;0;;QuAt;;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;charging demand coverage;;0;;AvCo;;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;average traffic flow;;1;Traffic Flow;Ac;QuAt;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;other installed stations;;1;Other CIS;AvCo;QuRed;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;land use type ;;1;Land Use;Ac;QuAt;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;transport networks;;;0;;;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;spatial structure;traffic volume;;1;Traffic Flow;Ac;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;user characteristics and behavior;POI;;1;POI;AcPOI;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;;expected staying period;;1;Dwell Characteristics;Ac;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;;required detours;;0;;QuAt;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;;dwelling time;;1;Dwell Characteristics;Ac;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;;possibility to spend charging time on other activities;;1;POI;AcPOI;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;vehicle's key data;expected numbers of BEV;;0;;Ac;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;existing charging infrastructure;charging capacity;;1;Other CIS;QuRed;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;;charging plug;;0;Other CIS;Av;;
Brost, Waldemar and Funke, Teresa and Philipsen, Ralf and Brell, Teresa and Ziefle, Martina;Brost et al.;2018;Integrated Model Approach STELLA Method of Site Identification for Charging Infrastructure;Brost.2018;power grid;;;0;;;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking duration;parking duration depending on trip activity;1;Dwell Characteristics;Ac;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking duration;parking duration depending on Vehicle type;0;;;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking duration;parking duration depending on destination land use type;1;Land Use;Ac;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;walking distance;;1;Coverage;AvCo;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;distance to other charging stations;;1;Other CIS;AvCo;QuRed;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking demand;average parking prices for daily paid parking;1;Parking Situation;QuAt;Ac;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking demand;population density;1;Residential Population;AcHo;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking demand;transit access and network connectivity;1;Surrounding Street Network;QuRe;AcPT;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking demand;employment density;1;Working Population;AcWo;;
Chen, T. Donna and Kockelman, Kara M. and Khan, Moby;Chen et al.;2013;Locating Electric Vehicle Charging Stations;Chen.2013;;parking demand;student density;1;Working Population;AcWo;;
Chung, Sung Hoon and Kwon, Changhyun;Chung, Kwon;2015;Multi-period planning for electric car charging station locations: A case of Korean Expressways;Chung.2015;;vehicle flow;;1;Traffic Flow;Ac;QuAt;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;destination type;sum of destination type specific charging demand in 250m hexagon ;1;Dwell Characteristics;Ac;;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;existing charging infrastructure;neighboring charging infrastructure in willing to walk distance;1;Other CIS;AvCo;QuRed;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;installation potential;charging demand, if parking is available;0;;Ac;;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;parking potential;;1;Parking Situation;QuAt;Ac;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;residential area type;main residential building type in 250m hexagon;1;Residential Population;AcHo;;
"Csisz{\'a}r, Csaba and Csonka, B{\'a}lint and F{\""o}ldes, D{\'a}vid and Wirth, Ervin and Lovas, Tam{\'a}s";Csisz{\'a}r et al.;2019;Urban public charging station locating method for electric vehicles based on land use approach;Csiszar.2019;;population;population in 250m Hexagon;1;Residential Population;AcHo;;
Csonka, B{\'a}lint and Csisz{\'a}r, Csaba;Csonka, Csisz{\'a}r;2017;Determination of charging infrastructure location for electric vehicles;Csonka.2017;;parking daytime;parking duration at POI;1;Dwell Characteristics;AcPOI;;
Csonka, B{\'a}lint and Csisz{\'a}r, Csaba;Csonka, Csisz{\'a}r;2017;Determination of charging infrastructure location for electric vehicles;Csonka.2017;;effect of nearby charging;number of chargers weighted by hexagon distance ;1;Other CIS;AvCo;QuRed;
Csonka, B{\'a}lint and Csisz{\'a}r, Csaba;Csonka, Csisz{\'a}r;2017;Determination of charging infrastructure location for electric vehicles;Csonka.2017;;parking nighttime;population in 250m hexagon;1;Residential Population;AcHo;;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;cost;;;0;;;;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;net benefits;reliability;;0;;;;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;BEV flow;electric vehicle flow;;1;Traffic Flow;Ac;QuAt;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;;coverage;;1;Coverage;AvCo;;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;others;distance between demand and charging site;;0;;AvCo;QuRed;
Deb, Sanchari and Tammi, Kari and Kalita, Karuna and Mahanta, Pinakeswar;Deb et al.;2018;Review of recent trends in charging infrastructure planning for electric vehicles;Deb.2018;;covered trips by BEV (min. time);;0;;QuAt;;
Dong, Jing and Liu, Changzheng and Lin, Zhenhong;Dong et al.;2014;Charging infrastructure planning for promoting battery electric vehicles: An activity-based approach using multiday travel data;Dong.2014;;parking places;;1;Parking Situation;QuAt;Ac;
Dong, Jing and Liu, Changzheng and Lin, Zhenhong;Dong et al.;2014;Charging infrastructure planning for promoting battery electric vehicles: An activity-based approach using multiday travel data;Dong.2014;;places where people spend time;;1;POI;AcPOI;;
Efthymiou, Dimitrios and Antoniou, Constantinos and Tyrinopoylos, Yannis and Mitsakis, Evangelos;Efthymiou et al.;2012;Spatial Exploration of Effective Electric Vehicle Infrastructure Location;Efthymiou.2012;;POI distance from parking;euclidean distance between charger and POI;1;Coverage;AvCo;AcPOI;
Efthymiou, Dimitrios and Antoniou, Constantinos and Tyrinopoylos, Yannis and Mitsakis, Evangelos;Efthymiou et al.;2012;Spatial Exploration of Effective Electric Vehicle Infrastructure Location;Efthymiou.2012;;POI;number of POI in 200m radius;1;POI;AcPOI;;
Efthymiou, Dimitrios and Antoniou, Constantinos and Tyrinopoylos, Yannis and Mitsakis, Evangelos;Efthymiou et al.;2012;Spatial Exploration of Effective Electric Vehicle Infrastructure Location;Efthymiou.2012;;residential population;sum of residents in 200m radius;1;Residential Population;AcHo;;
Efthymiou, Dimitrios and Antoniou, Constantinos and Tyrinopoylos, Yannis and Mitsakis, Evangelos;Efthymiou et al.;2012;Spatial Exploration of Effective Electric Vehicle Infrastructure Location;Efthymiou.2012;;average income;average income in 200m radius;1;Residential Population;AcHo;;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;proximity to petrol station;;1;POI;AcPOI;;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;proximity to other charging sites;;1;Other CIS;AvCo;QuRed;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;BEV ownership in service area;;1;Residential Population;AcHo;;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;service area population;;1;Residential Population;AcHo;;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;proximity to junctions;;1;Surrounding Street Network;QuRe;Ac;
"Erba{\c{s}}, Mehmet and Kabak, Mehmet and {\""O}zceylan, Eren and {\c{C}}etinkaya, Cihan";Erba{\c{s}} et al.;2018;Optimal siting of electric vehicle charging stations: A GIS-based fuzzy Multi-Criteria Decision Analysis;Erbas.2018;;proximity to main roads;;1;Surrounding Street Network;QuRe;Ac;
Frade, In{\^e}s and Ribeiro, Anabela and Gon{\c{c}}alves, Gon{\c{c}}alo and Antunes, Ant{\'o}nio Pais;Frade et al.;2011;Optimal Location of Charging Stations for Electric Vehicles in a Neighborhood in Lisbon, Portugal;Frade.2011;;coverage;census block center reachable from charger within willing/accepted to walk distance;1;Coverage;AvCo;;
Frade, In{\^e}s and Ribeiro, Anabela and Gon{\c{c}}alves, Gon{\c{c}}alo and Antunes, Ant{\'o}nio Pais;Frade et al.;2011;Optimal Location of Charging Stations for Electric Vehicles in a Neighborhood in Lisbon, Portugal;Frade.2011;;available parking space;candidate site is parking garage;1;Parking Situation;QuAt;Ac;
Frade, In{\^e}s and Ribeiro, Anabela and Gon{\c{c}}alves, Gon{\c{c}}alo and Antunes, Ant{\'o}nio Pais;Frade et al.;2011;Optimal Location of Charging Stations for Electric Vehicles in a Neighborhood in Lisbon, Portugal;Frade.2011;;nighttime demand;number of resident BEV in census block;1;Residential Population;AcHo;;
Frade, In{\^e}s and Ribeiro, Anabela and Gon{\c{c}}alves, Gon{\c{c}}alo and Antunes, Ant{\'o}nio Pais;Frade et al.;2011;Optimal Location of Charging Stations for Electric Vehicles in a Neighborhood in Lisbon, Portugal;Frade.2011;;daytime demand;number of employee owned BEV in census block;1;Working Population;AcWo;;
Friese, Philipp A. and Michalk, Wibke and Fischer, Markus and Hardt, Cornelius and Bogenberger, Klaus;Friese et al.;2021;Charging Point Usage in Germany---Automated Retrieval, Analysis, and Usage Types Explained;Friese.2021;;land use type ;number of detached or row houses;1;Land Use;AcHo;;
Friese, Philipp A. and Michalk, Wibke and Fischer, Markus and Hardt, Cornelius and Bogenberger, Klaus;Friese et al.;2021;Charging Point Usage in Germany---Automated Retrieval, Analysis, and Usage Types Explained;Friese.2021;;land use type ;number of commercial buildings;1;Land Use;AcWo;;
Friese, Philipp A. and Michalk, Wibke and Fischer, Markus and Hardt, Cornelius and Bogenberger, Klaus;Friese et al.;2021;Charging Point Usage in Germany---Automated Retrieval, Analysis, and Usage Types Explained;Friese.2021;;land use type ;number of all buildings;1;Land Use;Ac;;
Friese, Philipp A. and Michalk, Wibke and Fischer, Markus and Hardt, Cornelius and Bogenberger, Klaus;Friese et al.;2021;Charging Point Usage in Germany---Automated Retrieval, Analysis, and Usage Types Explained;Friese.2021;;number of households with a monthly income with at most 900 EUR;;1;Residential Population;AcHo;;
Friese, Philipp A. and Michalk, Wibke and Fischer, Markus and Hardt, Cornelius and Bogenberger, Klaus;Friese et al.;2021;Charging Point Usage in Germany---Automated Retrieval, Analysis, and Usage Types Explained;Friese.2021;;buying power per inhabitant;;1;Residential Population;AcHo;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;visibility;;1;Visibility;QuAt;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;accessibility;;1;Accessibility;QuRe;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;safety;;1;Safety;QuAt;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;unrestrictred access;;1;Accessibility;AvAR;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;availability;;0;;AvCo;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;demand oriented;;0;;Ac;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;limited cost;;0;;;;
"Funke, Simon {\'A}rp{\'a}d and Gnann, Till and Pl{\""o}tz, Patrick";Funke et al.;2015;Addressing the Different Needs for Charging Infrastructure: An Analysis of Some Criteria for Charging Infrastructure Set-up;Funke.2015;;site handling;;0;;;;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;parking areas;available at candidate site;1;Parking Situation;QuAt;Ac;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;parking areas;capacity of parking;1;Parking Situation;QuAt;Ac;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;proximity to public transport;;1;Connectivity to public transport;AcPT;;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;proximity to public access buildings;;1;POI;AcPOI;;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;proximity to shopping and food areas;;1;POI;AcPOI;;
Gkatzoflias, Dimitrios and Drossinos, Yannis and Zubaryeva, Alyona and Zambelli, Pietro and Dilara, Panagiota and Thiel, Christian;Gkatzoflias et al.;2016;Optimal allocation of electric vehicle charging infrastructure in cities and regions: Scientific analysis or review;Gkatzoflias.2016;;residential statistics;population density in 100x100 m cell;1;Residential Population;AcHo;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;environment;destruction degree on vegetation and water;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;waste discharge;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;greenhouse gas emission reduction;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;fine particale matter emission reduction;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;economy;construction cost;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;annual operation and maintenance cost;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;investment payback period;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;society;harmonization of charging infrastructure with the development planning of urban road network and power grid;;0;;;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;traffic convenience;;1;Surrounding Street Network;QuRe;QuAt;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;service capability;;0;;AvCo;;
Guo, Sen and Zhao, Huiru;Guo, Zhao;2015;Optimal site selection of electric vehicle charging station by using fuzzy TOPSIS based on sustainability perspective;Guo.2015;;impact on peoples' lifes;;0;;;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;income;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;vehicle ownership;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;education level;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;age;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;gender;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;family size;;1;Residential Population;AcHo;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;public access;;1;Accessibility;AvAR;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;visibility;;1;Visibility;QuAt;;
He, Sylvia Y. and Kuo, Yong-Hong and Wu, Dan;He et al.;2016;Incorporating institutional and spatial factors in the selection of the optimal locations of public electric vehicle charging facilities: A case study of Beijing, China;He.2016;;accordance to politcal rollout guidelines;candite site is: 4s shop, public car park, university or petrol station;0;;;;
Helmus, J. and {van den Hoed}, R.;Helmus, {van den Hoed};2016;Key Performance Indicators of Charging infrastructure;Helmus.2016;;coverage;total area (sqm) in walking distance of a charging point;1;Coverage;AvCo;;
Helmus, J. and {van den Hoed}, R.;Helmus, {van den Hoed};2016;Key Performance Indicators of Charging infrastructure;Helmus.2016;;coverage;mean walking distance between charging stations;1;Other CIS;AvCo;;
Huang, Kai and Kanaroglou, Pavlos and Zhang, Xiaozhou;Huang;2016;The design of electric vehicle charging network;Huang.2016;;centrality;;1;Centrality;QuAt;QuRe;AcPOI
Huang, Kai and Kanaroglou, Pavlos and Zhang, Xiaozhou;Huang;2016;The design of electric vehicle charging network;Huang.2016;;candidate site at POI;;1;POI;AcPOI;;
Huang, Kai and Kanaroglou, Pavlos and Zhang, Xiaozhou;Huang;2016;The design of electric vehicle charging network;Huang.2016;;number of BEV;;1;Residential Population;AcHo;;
